title,genre
Naruto Shippuuden,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']"
Fairy Tail,"['hành động', 'hài hước', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']"
Vua Hải Tặc,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
Black Clover,"['hành động', 'hài hước', 'phép thuật', 'shounen', 'fantasy']"
Boruto: Naruto Next Generations,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']"
Sword Art Online: Đao Kiếm Thần Vực Phần 2,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
Detective Conan ( Thám Tử Lừng Danh Conan ) Full,"['hài hước', 'phiêu lưu', 'shounen', 'mystery', 'police']"
Overlord,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game', 'siêu nhiên']"
Bleach [Bản HD 1080p],"['hành động', 'phiêu lưu', 'fantasy']"
Mahouka Koukou No Rettousei,"['hành động', 'phép thuật', 'học đường', 'romance', 'viễn tưởng', 'siêu nhiên']"
Gintama - Linh Hồn Bạc,"['hành động', 'hài hước', 'shounen', 'lịch sử', 'viễn tưởng', 'parody']"
Naruto Phần 1,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']"
Nanatsu no Taizai: Thất Hình Đại Tội,"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy', 'siêu nhiên']"
Pokemon Full,"['hành động', 'hài hước', 'phiêu lưu', 'fantasy', 'kid']"
Tate no Yuusha no Nariagari,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'romance', 'fantasy', 'seinen']"
Strike The Blood,"['hành động', 'ecchi', 'học đường', 'harem', 'fantasy', 'siêu nhiên', 'vampire']"
Tensei shitara Slime Datta Ken,"['shounen', 'fantasy']"
High School Dxd [BD],"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']"
Kimetsu no Yaiba,"['hành động', 'shounen', 'lịch sử', 'blu-ray', 'siêu nhiên', 'demons']"
Shingeki No Kyojin Attack On Titan,"['hành động', 'drama', 'shounen', 'fantasy', 'super power', 'mystery', 'military']"
Trinity Seven - Thất Tinh [BD],"['hành động', 'hài hước', 'ecchi', 'phép thuật', 'học đường', 'shounen', 'harem', 'romance', 'fantasy', 'siêu nhiên']"
Dragon Ball Super,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']"
Tokyo Ghoul SS2,"['hành động', 'kinh dị', 'drama', 'seinen', 'siêu nhiên', 'mystery', 'psychological']"
