Unnamed: 0,link,title1,title2,genre
0,https://anime47.com/phim/naruto-shippuuden/m4742.html,Naruto Shippuuden,Naruto Shippuuden,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']"
1,https://anime47.com/phim/fairy-tail/m4359.html,Fairy Tail,Hội Đuôi Tiên Phần 1 + 2,"['hành động', 'hài hước', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']"
2,https://anime47.com/phim/vua-hai-tac/m7667.html,Vua Hải Tặc,One Piece | Đảo Hải Tặc,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
3,https://anime47.com/phim/black-clover/m6408.html,Black Clover,Black Clover,"['hành động', 'hài hước', 'phép thuật', 'shounen', 'fantasy']"
4,https://anime47.com/phim/boruto-naruto-next-generations/m6106.html,Boruto: Naruto Next Generations,BORUTO -NARUTO NEXT GENERATIONS- ( Naruto Season 3) | Boruto: Naruto những thế hệ kế tiếp,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']"
5,https://anime47.com/phim/sword-art-online-dao-kiem-than-vuc-phan-2/m4574.html,Sword Art Online: Đao Kiếm Thần Vực Phần 2,Sword Art Online: Đao Kiếm Thần Vực Phần 2,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
6,https://anime47.com/phim/detective-conan-tham-tu-lung-danh-conan-full/m7633.html,Detective Conan ( Thám Tử Lừng Danh Conan ) Full,Detective Conan ( Thám Tử Lừng Danh Conan ) Full,"['hài hước', 'phiêu lưu', 'shounen', 'mystery', 'police']"
7,https://anime47.com/phim/overlord/m5108.html,Overlord,Over Lord,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game', 'siêu nhiên']"
8,https://anime47.com/phim/bleach/m1300.html,Bleach [Bản HD 1080p],Bleach,"['hành động', 'phiêu lưu', 'fantasy']"
9,https://anime47.com/phim/mahouka-koukou-no-rettousei/m3990.html,Mahouka Koukou No Rettousei,Mahouka Koukou No Rettousei,"['hành động', 'phép thuật', 'học đường', 'romance', 'viễn tưởng', 'siêu nhiên']"
10,https://anime47.com/phim/gintama-linh-hon-bac/m2443.html,Gintama - Linh Hồn Bạc,Gintama - Linh Hồn Bạc,"['hành động', 'hài hước', 'shounen', 'lịch sử', 'viễn tưởng', 'parody']"
11,https://anime47.com/phim/naruto-phan-1/m1370.html,Naruto Phần 1,Naruto 1 | Naruto Dattebayo,"['hành động', 'hài hước', 'shounen', 'super power', 'martial arts']"
12,https://anime47.com/phim/nanatsu-no-taizai-that-hinh-dai-toi/m4435.html,Nanatsu no Taizai: Thất Hình Đại Tội,Nanatsu no Taizai: Thất Hình Đại Tội,"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy', 'siêu nhiên']"
13,https://anime47.com/phim/pokemon-full/m1612.html,Pokemon Full,Pokemon,"['hành động', 'hài hước', 'phiêu lưu', 'fantasy', 'kid']"
14,https://anime47.com/phim/tate-no-yuusha-no-nariagari/m6796.html,Tate no Yuusha no Nariagari,Sự Trỗi Dậy của Khiên Anh Hùng,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'romance', 'fantasy', 'seinen']"
15,https://anime47.com/phim/strike-the-blood/m3646.html,Strike The Blood,Strike The Blood,"['hành động', 'ecchi', 'học đường', 'harem', 'fantasy', 'siêu nhiên', 'vampire']"
16,https://anime47.com/phim/tensei-shitara-slime-datta-ken/m6791.html,Tensei shitara Slime Datta Ken,Vào Ngày Đó Tôi Đã Chuyển Sinh Thành Con Slime,"['shounen', 'fantasy']"
17,https://anime47.com/phim/high-school-dxd/m2625.html,High School Dxd [BD],Highschool DxD [Blu-ray],"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']"
18,https://anime47.com/phim/kimetsu-no-yaiba/m7163.html,Kimetsu no Yaiba,Blade of Demon Destruction,"['hành động', 'shounen', 'lịch sử', 'blu-ray', 'siêu nhiên', 'demons']"
19,https://anime47.com/phim/shingeki-no-kyojin-attack-on-titan/m2972.html,Shingeki No Kyojin Attack On Titan,Shingeki No Kyojin Attack On Titan,"['hành động', 'drama', 'shounen', 'fantasy', 'super power', 'mystery', 'military']"
20,https://anime47.com/phim/trinity-seven-that-tinh/m4443.html,Trinity Seven - Thất Tinh [BD],Trinity Seven - Thất Tinh [Blu-ray],"['hành động', 'hài hước', 'ecchi', 'phép thuật', 'học đường', 'shounen', 'harem', 'romance', 'fantasy', 'siêu nhiên']"
21,https://anime47.com/phim/dragon-ball-super/m5098.html,Dragon Ball Super,Dragon Ball Chou,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']"
22,https://anime47.com/phim/tokyo-ghoul-ss2/m4751.html,Tokyo Ghoul SS2,Tokyo Ghoul √A | Tokyo Ghoul 2nd Season | Tokyo Ghoul Second Season,"['hành động', 'kinh dị', 'drama', 'seinen', 'siêu nhiên', 'mystery', 'psychological']"
23,https://anime47.com/phim/kiseijuu-sei-no-kakuritsu/m4452.html,Kiseijuu: Sei no Kakuritsu,Ký Sinh Trùng,"['hành động', 'kinh dị', 'drama', 'viễn tưởng', 'seinen', 'psychological']"
24,https://anime47.com/phim/yosuga-no-sora-bd/m1352.html,Yosuga No Sora BD,"Yosuga no Sora: In Solitude, Where We Are Least Alone.","['ecchi', 'drama', 'harem', 'romance']"
