link,title1,title2,genre
https://anime47.com/phim/kage-no-jitsuryokusha-ni-naritakute/m8814.html,Kage no Jitsuryokusha ni Naritakute!,Shadow Garden | Ta Muốn Trở Thành Chúa Tể Bóng Tối,"['hành động', 'hài hước', 'fantasy']"
https://anime47.com/phim/chainsaw-man/m8778.html,Chainsaw Man,Người Cưa,"['hành động', 'phiêu lưu']"
https://anime47.com/phim/tensei-shitara-ken-deshita/m8816.html,Tensei shitara Ken Deshita,"I became the sword by transmigrating, TenKen | Chuyển Sinh Thành Kiếm","['hành động', 'fantasy', 'xuyên không - chuyển kiếp']"
https://anime47.com/phim/noumin-kanren-no-skill-bakka-agetetara-nazeka-tsuyoku-natta/m8836.html,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,Tôi Trở Nên Mạnh Hơn Nhờ Nâng Cấp Các Kỹ Năng Của Nông Dân | I Somehow Became Stronger by Raising Farming-Related Skills | 農民関連のスキルばっか上げてたら何故か強くなった。,"['hành động', 'ecchi', 'fantasy']"
https://anime47.com/phim/bleach-sennen-kessen-hen/m8828.html,Bleach: Sennen Kessen-hen,Bleach: Huyết chiến ngàn năm | Bleach: Thousand-Year Blood War Arc | BLEACH 千年血戦篇 | Bleach: Thousand-Year Blood War,"['hành động', 'phiêu lưu', 'fantasy']"
https://anime47.com/phim/cuoc-song-thuong-ngay-cua-tien-vuong-mua-3/m8865.html,Cuộc Sống Thường Ngày Của Tiên Vương Mùa 3,Xian Wang de Richang Shenghuo 3 | The Daily Life of the Immortal King 3,"['hành động', 'hài hước', 'phép thuật', 'học đường', 'super power', 'siêu nhiên']"
https://anime47.com/phim/yuusha-party-wo-tsuihou-sareta-beast-tamer-saikyoushu-no-nekomimi-shoujo-to-deau/m8837.html,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau","Luyện thú sư sau khi bị đuổi khỏi tổ đội của dũng sĩ, gặp được thiếu nữ tai mèo của chủng tộc mạnh nhất | The Beast Tamer Who Got Kicked Out From His Party Meets a Cat Girl From the Superior Race | 勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う | Beast Tamer","['hành động', 'hài hước', 'fantasy']"
https://anime47.com/phim/vua-hai-tac/m7667.html,Vua Hải Tặc,One Piece | Đảo Hải Tặc,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
https://anime47.com/phim/renai-flops/m8843.html,Renai Flops,恋愛フロップス | Love Flops,"['hài hước', 'romance', 'học đường']"
https://anime47.com/phim/shinobi-no-ittoki/m8820.html,Shinobi no Ittoki,Shinobi no Ittoki,['hành động']
