link,title1,title2,genre
https://animetvn.pro/thong-tin-phim/f2105-one-piece.html,One Piece,Đảo Hải Tặc | Vua Hải Tặc,"['hành động', 'phiêu lưu', 'hài hước', 'drama', 'giả tưởng', 'shounen']"
https://animetvn.pro/thong-tin-phim/f2104-naruto-shippuuden.html,Naruto Shippuuden,Naruto: Sức Mạnh Vĩ Thú | Naruto Phần 2,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'phép thuật', 'shounen', 'võ thuật', 'ninja']"
https://animetvn.pro/thong-tin-phim/f3484-detective-conan.html,Detective Conan,Thám Tử Lừng Danh Conan | Meitantei Conan | 名探偵コナン,"['hành động', 'phiêu lưu', 'hài hước', 'trinh thám', 'bỉ ẩn', 'shounen']"
https://animetvn.pro/thong-tin-phim/f5138-black-clover-tv.html,Black Clover (TV),Black Clover (2017),"['hành động', 'hài hước', 'giả tưởng', 'phép thuật', 'shounen']"
https://animetvn.pro/thong-tin-phim/f4756-boruto-naruto-next-generations.html,Boruto: Naruto Next Generations,BORUTO -NARUTO NEXT GENERATIONS ( Naruto Season 3) | Boruto: Naruto những thế hệ kế tiếp,"['hành động', 'phiêu lưu', 'shounen', 'siêu năng lực', 'võ thuật', 'ninja']"
https://animetvn.pro/thong-tin-phim/f3846-dragon-ball-chou.html,Dragon Ball Super,Dragon Ball Chou,"['hành động', 'phiêu lưu', 'hài hước', 'shounen', 'siêu năng lực', 'võ thuật']"
https://animetvn.pro/thong-tin-phim/f1427-bleach.html,Bleach,Sứ Mạng Thần Chết Ichigo,"['hành động', 'hài hước', 'giả tưởng', 'siêu nhiên', 'shounen']"
https://animetvn.pro/thong-tin-phim/f2841-mahouka-koukou-no-rettousei.html,Mahouka Koukou no Rettousei,The Irregular at Magic High School | Những chuyện bất thường tại trường Trung Học Phép Thuật [Bluray],"['học đường', 'phép thuật', 'tình yêu', 'siêu nhiên', 'shounen', 'viễn tưởng', 'bạo lực']"
https://animetvn.pro/thong-tin-phim/f3563-naruto-dattebayo.html,Naruto Dattebayo,Naruto: Ninja Làng Mộc Diệp | Naruto Phần 1 | Naruto 1,"['hành động', 'hài hước', 'shounen', 'siêu năng lực', 'võ thuật', 'ninja']"
https://animetvn.pro/thong-tin-phim/f5243-dau-la-dai-luc.html,Đấu La Đại Lục,Douluo Dalu,"['hành động', 'võ thuật', 'cartoon', 'isekai']"
https://animetvn.pro/thong-tin-phim/f2130-gintama.html,Gintama,Ngân Hồn | Linh Hồn Bạc | Silver Soul | Gintama Season 1 2 3,"['hành động', 'hài hước', 'lịch sử', 'shounen', 'parody', 'samurai', 'viễn tưởng']"
https://animetvn.pro/thong-tin-phim/f5401-tensei-shitara-slime-datta-ken.html,Tensei Shitara Slime Datta Ken,That Time I Got Reincarnated as a Slime,"['hành động', 'phiêu lưu', 'hài hước', 'drama', 'giả tưởng', 'seinen', 'isekai']"
https://animetvn.pro/thong-tin-phim/f2131-fairy-tail.html,Fairy Tail,Hội Pháp Sư,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'phép thuật', 'shounen']"
https://animetvn.pro/thong-tin-phim/f5558-kimetsu-no-yaiba.html,Kimetsu no Yaiba,"Blade of Demon Destruction, Demon Slayer: Kimetsu no Yaiba","['hành động', 'lịch sử', 'siêu nhiên', 'shounen', 'ác quỷ']"
https://animetvn.pro/thong-tin-phim/f4350-rezero-kara-hajimeru-isekai-seikatsu.html,Re:Zero kara Hajimeru Isekai Seikatsu,Re: Life in a different world from zero | ReZero [Bluray],"['drama', 'giả tưởng', 'thriller', 'isekai']"
https://animetvn.pro/thong-tin-phim/f2116-dragon-ball-z.html,Dragon Ball Z,7 Viên Ngọc Rồng | 7 Viên Ngọc Rồng Phần 2 | Songoku,"['hành động', 'phiêu lưu', 'hài hước', 'shounen', 'siêu năng lực', 'võ thuật']"
https://animetvn.pro/thong-tin-phim/f2135-hunter-x-hunter-2011.html,Hunter X Hunter (2011),Hunter X Hunter 2011,"['hành động', 'phiêu lưu', 'shounen', 'siêu năng lực', 'bạo lực']"
https://animetvn.pro/thong-tin-phim/f2000-sword-art-online.html,Sword Art Online,S.A.O [BD] | SAO [BD] | Đao Kiếm Thần Vực | Sword Art Online [BD],"['hành động', 'phiêu lưu', 'tình yêu', 'game', 'kemonomimi', 'viễn tưởng', 'isekai']"
https://animetvn.pro/thong-tin-phim/f3701-shokugeki-no-souma.html,Shokugeki no Souma,Food Wars: Shokugeki no Soma | Vua Bếp Soma,"['học đường', 'ecchi', 'shounen']"
https://animetvn.pro/thong-tin-phim/f4380-sousei-no-onmyouji.html,Sousei no Onmyouji,Twin Star Exorcists,"['hành động', 'giả tưởng', 'siêu nhiên', 'shounen']"
https://animetvn.pro/thong-tin-phim/f2855-fairy-tail-2-2014.html,Fairy Tail 2 (2014),Hội Pháp Sư phần 2| Fairy Tail (Ss2) | Fairy Tail 2 | Fairy Tail S2,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'phép thuật', 'siêu nhiên']"
https://animetvn.pro/thong-tin-phim/f5491-tate-no-yuusha-no-nariagari.html,Tate no Yuusha no Nariagari,The Rising of the Shield Hero,"['hành động', 'phiêu lưu', 'hài hước', 'drama', 'giả tưởng', 'isekai', 'tình yêu', 'seinen']"
